"","wage","educ","exper","tenure","nonwhite","female","married","numdep","smsa","northcen","south","west","construc","ndurman","trcommpu","trade","services","profserv","profocc","clerocc","servocc","lwage","expersq","tenursq"
"1",3.09999990463257,11,2,0,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1.13140201568604,4,0
"2",3.24000000953674,12,22,2,0,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,1,1.17557299137115,484,4
"3",3,11,2,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1.09861195087433,4,0
"4",6,8,44,28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.79175901412964,1936,784
"5",5.30000019073486,12,7,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.66770696640015,49,4
"6",8.75,16,9,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.16905403137207,81,64
"7",11.25,18,15,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,2.4203679561615,225,49
"8",5,12,5,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.60943794250488,25,9
"9",3.59999990463257,12,26,4,0,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1.2809339761734,676,16
"10",18.1800003051758,17,22,21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2.90032196044922,484,441
"11",6.25,16,8,2,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1.83258199691772,64,4
"12",8.13000011444092,13,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,2.09556102752686,9,0
"13",8.77000045776367,12,15,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2.17133688926697,225,0
"14",5.5,12,18,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.70474803447723,324,9
"15",22.2000007629395,12,31,15,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3.1000919342041,961,225
"16",17.3299999237061,16,14,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,2.85243892669678,196,0
"17",7.5,12,10,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2.01490306854248,100,0
"18",10.6300001144409,13,16,10,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,2.36367988586426,256,100
